document_id,document_name,sort_order,chunk_id,block_count,char_count,plain_chars,data_chars,html_chars,data_kb,plain_kb,html_kb,total_payload_kb
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,285,4d20cfc4-d3b5-494b-adce-0dae26feaa1e,24,4321,4321,6749,4491,9.86,7.50,7.66,25.01
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,286,f860846b-811e-407f-b2d8-d526a95b64f7,24,5706,5706,8154,5876,12.38,10.00,10.16,32.54
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,287,d59021c8-5b8c-43e8-8a39-398425198b3b,24,7190,7190,9690,7371,15.02,12.59,12.76,40.37
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,288,c8a53f80-e6f9-4896-9a6a-a5433e065928,24,7169,7169,9758,7399,14.96,12.44,12.65,40.05
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,289,4e221224-581f-46d4-bac7-b9926c40e138,24,9470,9470,12485,9880,18.38,15.45,15.83,49.66
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,290,8ba5670f-a4d6-4074-ad3d-2720d05c19e5,24,7473,7473,10715,8018,14.84,11.72,12.21,38.76
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,291,984922b8-4ca4-49b2-91a6-2417ed4b8dbd,24,8635,8635,11282,8867,17.75,15.17,15.39,48.30
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,292,7b538ee4-2683-4f1c-a800-ca09d0d10a52,24,4365,4365,6843,4548,9.91,7.49,7.67,25.06
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,293,70407c80-288a-460f-b273-69cf9e3ffa44,24,10721,10721,13341,10943,21.33,18.79,18.99,59.11
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,294,fd0a312c-724a-4b68-ae88-76e4f09de1b0,24,3488,3488,5881,3650,8.35,6.01,6.17,20.53
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,295,a0f98b7a-b10d-4df2-8495-365587705c5e,24,7241,7241,9989,7533,15.00,12.34,12.60,39.94
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,296,cd260b0f-909e-496a-9cb1-d133e373bb12,24,3108,3108,5506,3275,7.63,5.30,5.46,18.39
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,297,b4821a6d-e73b-406b-bcfa-06376bca8ddd,24,4237,4237,6675,4412,9.66,7.28,7.45,24.38
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,298,782e29f1-5fbc-4a5f-8dcc-8a17412e5104,24,6472,6472,9147,6752,13.86,11.27,11.52,36.66
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,299,caa68181-7bab-4cd0-8e7b-4b6331da7df0,24,3367,3367,5741,3517,8.05,5.73,5.88,19.65
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,300,ded7cdfc-bb19-4273-b8fd-9295d4324df7,24,5009,5009,7495,5200,11.12,8.70,8.88,28.69
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,301,62372355-b8b6-42a7-b3a0-52c8d9753472,24,2715,2715,5089,2870,6.96,4.64,4.79,16.38
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,302,f33b8007-66ef-4d50-9cfc-a29ab2189e89,24,6642,6642,9230,6873,14.10,11.59,11.80,37.49
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,303,eb281321-2fda-4e97-a0b1-6dc544a96da8,24,7131,7131,9673,7336,14.93,12.46,12.65,40.04
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,304,9178d569-39b3-4996-8f69-2d8ec9c188ec,24,10360,10360,13252,10711,20.40,17.60,17.92,55.91
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,305,95987f1c-6706-49c4-8fb6-fbdf9a85699c,24,6245,6245,9137,6585,13.17,10.36,10.68,34.21
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,306,5e73d82e-9c86-4469-a928-2f403c3eb7ed,24,2421,2421,5005,2678,6.07,3.55,3.80,13.43
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,307,6bd297b4-8ebe-4bd3-aa48-f175d504dacb,24,6441,6441,9264,6789,13.50,10.77,11.08,35.36
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,308,c1029ac6-c496-4e85-821b-2feab5414d25,24,6470,6470,8977,6655,13.81,11.36,11.54,36.71
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,309,fc1c3e42-de3d-4d2b-b6b2-cd47f00aee36,24,10192,10192,12818,10394,20.55,17.99,18.18,56.72
